Date signal,Date trade,Symbole,Modèle source,P(Up),Seuil Up,Prix achat,Prix vente,Rendement,Montant investi,Profit / perte,Statut
2026-08-25,2026-08-26,PANW,model_bb6ac93bf560,0.6392033100128174,0.341099,330.4599914550781,339.3099975585937,0.026780870097306897,10000.0,267.808700973069,Gagnant
2026-08-26,2026-08-27,PANW,model_bb6ac93bf560,0.5177596211433411,0.341099,358.5599975585937,382.8500061035156,0.0677432192947085,10000.0,677.432192947085,Gagnant
2026-08-28,2026-08-31,PANW,model_bb6ac93bf560,0.4322246015071869,0.341099,370.0,382.1300048828125,0.03278379698057443,10000.0,327.8379698057443,Gagnant
2026-09-03,2026-09-04,PANW,model_bb6ac93bf560,0.6384891271591187,0.341099,329.6600036621094,333.260009765625,0.010920360563987375,10000.0,109.20360563987374,Gagnant
2026-09-11,2026-09-14,PANW,model_bb6ac93bf560,0.5137309432029724,0.341099,346.4849853515625,373.9400024414063,0.07923869215281143,10000.0,792.3869215281143,Gagnant
2026-09-14,2026-09-15,PANW,model_bb6ac93bf560,0.390839546918869,0.341099,368.1300048828125,375.0899963378906,0.018906341136995186,10000.0,189.06341136995187,Gagnant
2026-09-15,2026-09-16,PANW,model_bb6ac93bf560,0.4531956613063812,0.341099,367.510009765625,375.6499938964844,0.02214901339979969,10000.0,221.49013399799688,Gagnant
2026-08-18,2026-08-19,MKC,model_5a13695db90d,0.4889379143714905,0.277226,55.2400016784668,56.47999954223633,0.02244746245641216,10000.0,224.4746245641216,Gagnant
2026-08-21,2026-08-24,MKC,model_5a13695db90d,0.4596136510372162,0.277226,55.65999984741211,56.20000076293945,0.009701777165068481,10000.0,97.01777165068481,Gagnant
2026-08-25,2026-08-26,MKC,model_5a13695db90d,0.4688703417778015,0.277226,54.220001220703125,55.09999847412109,0.01623012234610477,10000.0,162.3012234610477,Gagnant
2026-08-27,2026-08-28,MKC,model_5a13695db90d,0.445996880531311,0.277226,54.7599983215332,55.33000183105469,0.010409122114551694,10000.0,104.09122114551694,Gagnant
2026-08-19,2026-08-20,GPC,model_ad04504f520b,0.536375880241394,0.252393,131.5500030517578,132.9199981689453,0.010414253784916117,10000.0,104.14253784916116,Gagnant
2026-08-21,2026-08-24,GPC,model_ad04504f520b,0.5724212527275085,0.252393,134.0800018310547,135.69000244140625,0.01200776095140732,10000.0,120.0776095140732,Gagnant
2026-08-31,2026-09-01,GPC,model_ad04504f520b,0.3202346265316009,0.252393,135.25,134.83999633789062,-0.003031450366797639,10000.0,-30.31450366797639,Perdant
2026-09-01,2026-09-02,GPC,model_ad04504f520b,0.5056227445602417,0.252393,135.69000244140625,137.14999389648438,0.01075975701090126,10000.0,107.59757010901261,Gagnant
2026-09-03,2026-09-04,GPC,model_ad04504f520b,0.5568119287490845,0.252393,135.52000427246094,138.0800018310547,0.018890182097743402,10000.0,188.90182097743403,Gagnant
2026-09-08,2026-09-09,GPC,model_ad04504f520b,0.4185147881507873,0.252393,132.42999267578125,135.24000549316406,0.021218855038845685,10000.0,212.18855038845686,Gagnant
2026-08-25,2026-08-26,CHRW,model_e939b0bb2f2d,0.7398175597190857,0.264374,143.86000061035156,151.72999572753906,0.05470592995827639,10000.0,547.0592995827639,Gagnant
2026-09-03,2026-09-04,CHRW,model_e939b0bb2f2d,0.5685890316963196,0.264374,145.30999755859375,147.63999938964844,0.016034697338117798,10000.0,160.34697338117797,Gagnant
2026-09-09,2026-09-10,CHRW,model_e939b0bb2f2d,0.4783146679401397,0.264374,150.64999389648438,152.4199981689453,0.011749116124605719,10000.0,117.49116124605719,Gagnant
2026-09-14,2026-09-16,CHRW,model_e939b0bb2f2d,0.4224976003170013,0.264374,155.60000610351562,153.47000122070312,-0.013688976859007829,10000.0,-136.8897685900783,Perdant
